type,invasiveness,invasiveness_lower,invasiveness_upper
1,0.019946013406581,0.00794940947432156,0.0579517872689144
13,0.00607848969350552,0.00137064918627811,0.0316179300798739
14,0.00137416796417479,0.000634798313161955,0.00315944530443216
20,0.00608764936313226,0.00196901704861889,0.0205849077521668
29,0.0099760695888521,0.000189474289572447,0.592570295802763
3,0.00305265735493776,0.00149844280157308,0.00686827230505308
31,0.00124363718885579,0.000434036750339839,0.0041380941203079
34,0.000397254205248297,0.000111318649274183,0.0017522632466812
37,0.000277443279910874,6.52835812581928e-05,0.00110680111130214
38,0.00110869802743662,0.000420559921460481,0.00323969002126192
4,0.00767334186123636,0.00307779355269438,0.0218561402227121
8,0.0163183678293512,0.00696374305831365,0.0449069980846661
10A,0.000633400145212147,0.000236024516471272,0.0019900052497778
10C,5.01374330249018e-05,1.20230538528171e-06,0.00884999736273854
10F,0.00163988154539775,0.000344823107327346,0.0108192882946863
11A,0.000593399537984934,0.000272175473692708,0.00147864840505829
12F,0.0187955602320002,0.00635190918065559,0.0832031880405424
15A,0.000617142587325127,0.000194948393891371,0.00254602520035039
15B/C,0.000103931245036486,3.94694252524381e-05,0.000289518353183543
16F,0.000717874281251687,0.000286942115736672,0.00222958593773607
17F,0.00177921207833885,0.000611587291009586,0.00680665425452854
18C,0.00143319094851346,0.000550482163356691,0.00421236922968581
19A,0.000961691899632717,0.000440941548161592,0.00240667989056988
19F,0.000272744620445506,0.00011817524785828,0.000723497560993722
21,8.89817639390774e-05,2.23909969484517e-05,0.000319665629329016
22A,5.20555877876417e-05,1.20615406351073e-06,0.00893379371337209
22F,0.00144711419345323,0.000620196724568653,0.00395287530352499
23A,0.000196929828987027,7.40017520197332e-05,0.000570163004049783
23B,0.000109564996274689,1.92516497041044e-05,0.000603783415423826
27,7.90438461314602e-05,3.10056832637652e-06,0.00132013099368262
33A,5.08956585276701e-05,1.19256277805105e-06,0.00913294844712624
33F,0.00140072474712166,0.000483672277127583,0.00495711826663396
35A,0.000345177963863117,8.06205745593415e-05,0.00167476730414821
35B,0.000217616629265702,7.92105662356861e-05,0.000686370120025887
35F,0.000141034277845193,5.1787450398413e-05,0.000405163032286465
5,0.00687134356161713,0.00138115916887142,0.0464957242517497
6B,0.000338650268099135,0.000132385639096081,0.00107856610997092
7C,0.0013811037378226,0.000314005246212538,0.00946045115277413
7F,0.0117841844971231,0.0053908444433854,0.029486307193951
9N,0.00266909319179762,0.00102254589508193,0.00780211553470888
9V,0.00306111424120298,0.00134919525436526,0.00763994606300203
12B,0.029201723362407,0.00278726770470237,1.09615718644424
18A,0.000565164965106135,8.95741986000878e-05,0.00495652494582411
23F,0.000266194593746013,0.000110530443986564,0.000758872087915637
24B,0.00201729292900577,3.93707819379184e-05,0.107185470356252
24F,0.00222082630784686,0.00049293446824242,0.011650713733839
25F,0.00206291232204101,4.23054260888363e-05,0.116084468390387
6A,0.00018499396113526,7.44595053974063e-05,0.000521369621630769
6C,9.3522552588403e-06,1.11263194272585e-06,0.000337869052576383
9A,0.00199661227444686,3.96782660135182e-05,0.109419419072635
9L,0.0141352819514453,0.00114126076579035,0.57976178430156
2,0.000898907606337573,1.77908717311777e-05,0.0574660367313849
18B,8.01361699119272e-06,1.10999585087501e-06,0.000303940964259599
